Thread ID: 268020
Total: 42.315561

 %self     total     self     wait    child    calls  name
  0.01      0.01     0.00     0.00     0.01      229  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys
  0.01      0.03     0.00     0.00     0.03      242  <Class::ActiveRecord::Base>#connection
  0.01      0.01     0.00     0.00     0.01      100  <Class::Rational>#reduce
  0.01      0.01     0.00     0.00     0.00      170  Rational#initialize
  0.01      0.00     0.00     0.00     0.00       51  Module#define_method
  0.01      0.00     0.00     0.00     0.00      100  Integer#gcd
  0.01      0.00     0.00     0.00     0.00     1519  Module#===
  0.01     17.52     0.00     0.00    17.51       60  ActiveRecord::Associations::AssociationProxy#with_scope
  0.01      0.14     0.00     0.00     0.14       80  ActiveRecord::Associations::AssociationCollection#method_missing
  0.01      0.00     0.00     0.00     0.00      308  <Class::ActiveRecord::Base>#current_scoped_methods
  0.01      0.01     0.00     0.00     0.00       86  ActiveSupport::Dependencies#qualified_const_defined?
  0.01      0.00     0.00     0.00     0.00      277  Array#-
  0.01      0.00     0.00     0.00     0.00       70  <Class::Proc>#new
  0.01      1.15     0.00     0.00     1.15       95  Chart#normalized_counts
  0.01      0.55     0.00     0.00     0.54       11  Array#sort!
  0.01      0.00     0.00     0.00     0.00      510  <Class::ActiveRecord::Base>#scoped_methods
  0.01      0.00     0.00     0.00     0.00      232  Class#read_inheritable_attribute
  0.01      0.00     0.00     0.00     0.00      263  Set#add
  0.00      0.01     0.00     0.00     0.01       70  ActiveRecord::Associations::HasManyAssociation#construct_scope
  0.00      0.04     0.00     0.00     0.04      300  ActiveRecord::Base#[]
  0.00      0.00     0.00     0.00     0.00      457  Kernel#__send__-7
  0.00      0.08     0.00     0.00     0.08        6  Kernel#load_without_new_constant_marking
  0.00      0.00     0.00     0.00     0.00       70  ActiveRecord::Associations::AssociationProxy#set_belongs_to_association_for
  0.00      0.03     0.00     0.00     0.03       21  <Class::ActiveRecord::Base>#construct_finder_sql
  0.00     17.38     0.00     0.00    17.38       20  <Class::ActiveRecord::Base>#with_scope-2
  0.00      0.00     0.00     0.00     0.00      104  <Class::ActiveRecord::Base>#scope
  0.00      0.00     0.00     0.00     0.00      207  Set#delete
  0.00      0.00     0.00     0.00     0.00      122  <Class::ActiveRecord::Base>#set_readonly_option!
  0.00      0.00     0.00     0.00     0.00        7  Kernel#load_without_new_constant_marking-1
  0.00     17.49     0.00     0.00    17.49       20  <Class::ActiveRecord::Base>#with_scope-1
  0.00      0.05     0.00     0.00     0.05      371  ActiveRecord::Reflection::AssociationReflection#klass
  0.00      0.02     0.00     0.00     0.02       56  ActiveSupport::Inflector#constantize
  0.00      0.00     0.00     0.00     0.00      115  <Class::Object>#method_added
  0.00      0.05     0.00     0.00     0.05       47  Module#class_eval
  0.00      0.00     0.00     0.00     0.00      686  Kernel#kind_of?
  0.00      0.00     0.00     0.00     0.00       37  ActiveSupport::BufferedLogger#add
  0.00      0.00     0.00     0.00     0.00      266  String#split
  0.00      0.00     0.00     0.00     0.00       15  <Module::SQLite3::Driver::Native::API>#sqlite3_prepare
